"filename", "language", "Markdown", "Python", "JSON", "C++", "C", "CMake", "Log", "Rust", "CMake Cache", "YAML", "comment", "blank", "total"
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\uefi-e4c9495851a4cfae\lib-uefi.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\uefi-raw-605f0a1d6271cbf2\lib-uefi_raw.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\uguid-5c2811f0444242ed\lib-uguid.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\vex_loader-4f821b609b5f3d5b\bin-vex_loader.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\vex_loader-bf5a142ae22d60fd\bin-vex_loader.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\zeroize-af5f46ca9563ff51\lib-zeroize.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\build\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 409, 0, 0, 96, 505
"v:\vex_os\build\CMakeFiles\4.3.1\CMakeASM_NASMCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"v:\vex_os\build\CMakeFiles\4.3.1\CMakeCCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 18, 86
"v:\vex_os\build\CMakeFiles\4.3.1\CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 21, 103
"v:\vex_os\build\CMakeFiles\4.3.1\CMakeRCCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
