Date : 2026-06-23 23:04:50
Directory : v:\vex_os
Total : 274 files,  2845979 codes, 135 comments, 2675 blanks, all 2848789 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C           |         56 |  2,806,139 |         68 |      1,276 |  2,807,483 |
| build\CMakeFiles\4.3.1\CompilerIdC                                                                                                               |          1 |        711 |         62 |        162 |        935 |
| build\CMakeFiles\4.3.1\CompilerIdCXX                                                                                                             |          1 |        729 |         63 |        158 |        950 |
| build\Testing                                                                                                                                    |          2 |         32 |          0 |          4 |         36 |
| build\Testing\Temporary                                                                                                                          |          2 |         32 |          0 |          4 |         36 |
| build\boot                                                                                                                                       |          8 |  2,795,351 |          0 |         24 |  2,795,375 |
| build\out                                                                                                                                        |         31 |     22,018 |          0 |        235 |     22,253 |
| docs                                                                                                                                             |          2 |         60 |          0 |         16 |         76 |
| kernel                                                                                                                                           |         22 |      3,267 |          6 |        427 |      3,700 |
| kernel\arch                                                                                                                                      |          7 |        701 |          0 |         98 |        799 |
| kernel\arch\x86_64                                                                                                                               |          7 |        701 |          0 |         98 |        799 |
| kernel\core                                                                                                                                      |         12 |      2,155 |          6 |        277 |      2,438 |
| kernel\include                                                                                                                                   |          3 |        411 |          0 |         52 |        463 |
| kernel\include\vex                                                                                                                               |          3 |        411 |          0 |         52 |        463 |
| tests                                                                                                                                            |          3 |        186 |          0 |         33 |        219 |
| tests (Files)                                                                                                                                    |          2 |        172 |          0 |         32 |        204 |
| tests\fixtures                                                                                                                                   |          1 |         14 |          0 |          1 |         15 |
| tests\fixtures\demo-app                                                                                                                          |          1 |         14 |          0 |          1 |         15 |
| tools                                                                                                                                            |         62 |        432 |          0 |         68 |        500 |
| tools (Files)                                                                                                                                    |          2 |         64 |          0 |         22 |         86 |
| tools\vex                                                                                                                                        |         60 |        368 |          0 |         46 |        414 |
| tools\vex\src                                                                                                                                    |          1 |        300 |          0 |         44 |        344 |
| tools\vex\target                                                                                                                                 |         59 |         68 |          0 |          2 |         70 |
| tools\vex\target (Files)                                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release                                                                                                                         |         58 |         67 |          0 |          2 |         69 |
| tools\vex\target\release\.fingerprint                                                                                                            |         56 |         56 |          0 |          0 |         56 |
| tools\vex\target\release\.fingerprint\block-buffer-b59faa3ad7f906b1                                                                              |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\cfg-if-898e5947815c5d94                                                                                    |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\cpufeatures-6cbc0565f653e378                                                                               |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\crypto-common-319eaa8253366731                                                                             |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\curve25519-dalek-826d39af20b53719                                                                          |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\curve25519-dalek-9b179b87c3de6e19                                                                          |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\curve25519-dalek-c513941123015ea9                                                                          |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\curve25519-dalek-derive-4654edfc8bac0664                                                                   |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\digest-8bc7652c5f9f2ae6                                                                                    |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\ed25519-dalek-dd0bca8ec1cd284e                                                                             |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\ed25519-e4e21649c23c61b9                                                                                   |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\generic-array-076dab6f0f014b97                                                                             |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\generic-array-372483b9aa01d8a5                                                                             |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\generic-array-7fa45e6858dab8e9                                                                             |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\hex-cebabe17eaed0660                                                                                       |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\itoa-4ad65c72c9556ba2                                                                                      |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\memchr-d556eeb702a8ff8b                                                                                    |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\proc-macro2-5c3a8c675a71672c                                                                               |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\proc-macro2-5efa0c63d091d868                                                                               |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\proc-macro2-986b4d8559a6fd5b                                                                               |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\proc-macro2-adc7182e1f62f6df                                                                               |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\proc-macro2-bc2fa91951f8706c                                                                               |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\proc-macro2-e5ba9a2cd91527ff                                                                               |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\quote-0d78564b6a692ccd                                                                                     |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\quote-4d42cd921b7da51f                                                                                     |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\quote-5f148aecfb488c3c                                                                                     |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\quote-a45ee0d7fbe6959d                                                                                     |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\quote-e94d17f7e4f9e29f                                                                                     |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\quote-feea59a140c4feae                                                                                     |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\rustc_version-af63fab1bc64bf9d                                                                             |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\semver-32d82ad58780b2ff                                                                                    |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde-b17679604b62c832                                                                                     |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde-d4fb944ca7185aaf                                                                                     |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde-dc3fb062b2b83cf3                                                                                     |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde-f9601ea804951f08                                                                                     |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde_core-5a3ae6acdfbb4b37                                                                                |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde_core-7b36b7fe65ef654c                                                                                |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde_core-ea16e9cd4d11896c                                                                                |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde_derive-1298e1eab080eb1e                                                                              |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde_derive-a149313b626afa1a                                                                              |          1 |          1 |          0 |          0 |          1 |
