Date : 2026-07-19 04:39:40
Directory : v:\vex_os
Total : 206 files,  15979 codes, 28 comments, 2074 blanks, all 18081 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| v:\vex_os\boot\loader\include\tweetnacl.h                                                                                                        | C++      |         10 |          0 |          3 |         13 |
| v:\vex_os\boot\loader\src\common.c                                                                                                               | C        |         32 |          0 |          6 |         38 |
| v:\vex_os\boot\loader\src\elf.c                                                                                                                  | C        |         72 |          0 |         13 |         85 |
| v:\vex_os\boot\loader\src\main.c                                                                                                                 | C        |        476 |          0 |         49 |        525 |
| v:\vex_os\boot\loader\src\package.c                                                                                                              | C        |        120 |          0 |         22 |        142 |
| v:\vex_os\boot\loader\src\sha256.c                                                                                                               | C        |        119 |          0 |         19 |        138 |
| v:\vex_os\boot\loader\src\tweetnacl.c                                                                                                            | C        |        412 |          0 |         64 |        476 |
| v:\vex_os\boot\loader\target\.rustc_info.json                                                                                                    | JSON     |          1 |          0 |          0 |          1 |
| v:\vex_os\boot\loader\target\release\.fingerprint\curve25519-dalek-769562031082d83c\build-script-build-script-build.json                         | JSON     |          1 |          0 |          0 |          1 |
| v:\vex_os\boot\loader\target\release\.fingerprint\curve25519-dalek-derive-b9550572b34d0a87\lib-curve25519_dalek_derive.json                      | JSON     |          1 |          0 |          0 |          1 |
| v:\vex_os\boot\loader\target\release\.fingerprint\generic-array-f4dc80595c54df6e\build-script-build-script-build.json                            | JSON     |          1 |          0 |          0 |          1 |
| v:\vex_os\boot\loader\target\release\.fingerprint\proc-macro2-4785ec6557004dcf\run-build-script-build-script-build.json                          | JSON     |          1 |          0 |          0 |          1 |
| v:\vex_os\boot\loader\target\release\.fingerprint\proc-macro2-72d2bc2b14af4d43\build-script-build-script-build.json                              | JSON     |          1 |          0 |          0 |          1 |
| v:\vex_os\boot\loader\target\release\.fingerprint\proc-macro2-e6b5db7dddddaece\lib-proc_macro2.json                                              | JSON     |          1 |          0 |          0 |          1 |
| v:\vex_os\boot\loader\target\release\.fingerprint\ptr_meta_derive-8cfbc78be0d37a45\lib-ptr_meta_derive.json                                      | JSON     |          1 |          0 |          0 |          1 |
| v:\vex_os\boot\loader\target\release\.fingerprint\quote-12c2b458db79443d\run-build-script-build-script-build.json                                | JSON     |          1 |          0 |          0 |          1 |
| v:\vex_os\boot\loader\target\release\.fingerprint\quote-28641a5334d22d3d\lib-quote.json                                                          | JSON     |          1 |          0 |          0 |          1 |
| v:\vex_os\boot\loader\target\release\.fingerprint\quote-77f4dd0ddd3ba1c7\build-script-build-script-build.json                                    | JSON     |          1 |          0 |          0 |          1 |
| v:\vex_os\boot\loader\target\release\.fingerprint\rustc_version-f7247aef9f8080cb\lib-rustc_version.json                                          | JSON     |          1 |          0 |          0 |          1 |
| v:\vex_os\boot\loader\target\release\.fingerprint\semver-16dc8760dec18436\lib-semver.json                                                        | JSON     |          1 |          0 |          0 |          1 |
